account_id,account_name,type,currency
1001,Account 1001,asset,USD
1002,Account 1002,revenue,GBP
1003,Account 1003,liability,EUR
1004,Account 1004,asset,CHF
1005,Account 1005,asset,CNY
1006,Account 1006,expense,USD
1007,Account 1007,asset,CAD
1008,Account 1008,liability,GBP
1009,  Account 1009  ,equity,CNY
1010,Account 1010,asset,CHF
1011,Account 1011,liability,CHF
1012,Account 1012,expense,GBP
1013,Account 1013,expense,CNY
1014,Account 1014,revenue,USD
1015,Account 1015,liability,MXN
1016,Account 1016,revenue,JPY
1017,Account 1017,liability,GBP
1018,Account 1018,revenue,CAD
1019,Account 1019,asset,MXN
1020,Account 1020,asset,BRL
1021,Account 1021,revenue,CNY
1022,Account 1022,revenue,USD
1023,Account 1023,expense,CHF
1024,Account 1024,asset,MXN
1025,Account 1025,asset,CHF
1026,Account 1026,revenue,CNY
1027,Account 1027,revenue,CNY
1028,Account 1028,liability,CAD
1029,Account 1029,asset,GBP
1030,Account 1030,revenue,CAD
1031,Account 1031,liability,CAD
1032,Account 1032,expense,JPY
1033,Account 1033,expense,BRL
1034,Account 1034,liability,BRL
1035,Account 1035,revenue,GBP
1036,Account 1036,revenue,CAD
1037,Account 1037,equity,EUR
1038,Account 1038,equity,GBP
1039,Account 1039,liability,AUD
1040,Account 1040,expense,JPY
1041,Account 1041,equity,GBP
1042,Account 1042,revenue,USD
1043,Account 1043,liability,USD
1044,Account 1044,revenue,MXN
1045,Account 1045,revenue,CAD
1046,Account 1046,liability,CNY
1047,Account 1047,revenue,GBP
1048,Account 1048,expense,MXN
1049,Account 1049,expense,EUR
1050,Account 1050,revenue,EUR
1051,Account 1051,liability,CHF
1052,Account 1052,equity,JPY
1053,Account 1053,equity,MXN
1054,Account 1054,equity,MXN
1055,Account 1055,revenue,GBP
1056,Account 1056,liability,CHF
1057,Account 1057,expense,CAD
1058,Account 1058,asset,CAD
1059,Account 1059,liability,EUR
1060,Account 1060,expense,CNY
1061,Account 1061,asset,MXN
