Accounting-Control-Number-Numéro-contrôle-comptable,Journal-Voucher-Type-Code-Code-du-type-de-pièce-de-journal,Fiscal-Year-Année-Fiscale,Journal-Voucher-Identifier-Identificateur-de-la-pièce-de-journal,Accounting-Effective-Date-Date-d'entrée-en-vigueur-comptable,DepartmentNumber-Numéro-de-Ministère,Fiscal-Month-Mois-Fiscal,Journal-Voucher-Item-Identifier-Identificateur-de-l'item-de-la-pièce-de-journal,Financial-Coding-Block-Bloc-de-codage-financier,Subleger-Account-Identifier-Compte-du-grand-livre-auxiliaire,Credit/Debit-Code-Code-Crédit/Débit,Journal-Voucher-Item-Amount-Montant-de-l'item-de-la-pièce-de-journal,Control-Data-Type-Type-de-données-de-contrôle,Accounting-Summary-Transaction-Line-Count-Sommaire-comptable-transaction-compte-ligne,GBS-Control-Number-Numéro-de-contrôle-du-SBG,General-Ledger-Account-Code-Code-du-compte-du-grand-livre-général
202509100000,RDPCM,2024/2025,,2025-04-01,097,12,1,3615000,,DR,4350052361.64,JMZ,1,202509100150880,
202509100075,JVEFI,2025/2026,,2025-04-01,035,01,1,,0350000,CR,24804.39,CMC,1,202509100151015,
202509100076,JVEFI,2025/2026,,2025-04-01,018,01,1,,0180152,CR,764.33,CMC,1,202509100151008,
202509100077,JVEFI,2025/2026,,2025-04-01,018,01,1,,0181941,CR,1923.29,CMC,1,202509100151009,
202509100078,JVEFI,2025/2026,,2025-04-01,018,01,1,,0183330,DR,18512.87,CMC,1,202509100151010,
202509100079,JVEFI,2025/2026,,2025-04-01,018,01,1,,0186369,CR,428971.73,CMC,4,202509100151011,
202509100080,JVEFI,2025/2026,,2025-04-01,018,01,1,,0189518,CR,1107.53,CMC,1,202509100151012,
202509100081,JVEFI,2025/2026,,2025-04-01,005,01,1,,0050054,DR,7425.46,CMC,5,202509100150968,
202509100082,JVEFI,2025/2026,,2025-04-01,007,01,1,,0070099,DR,745.84,CMC,1,202509100150978,
202509100083,JVEFI,2025/2026,,2025-04-01,030,01,1,,0301612,DR,1819.49,CMC,1,202509100151014,
202509100084,JVEFI,2025/2026,,2025-04-01,086,01,1,,0860100,DR,6495.99,CMC,2,202509100151017,
202509100085,JVEFI,2025/2026,,2025-04-01,088,01,1,,0880880,DR,580.11,CMC,1,202509100151018,
202509100086,JVEFI,2025/2026,,2025-04-01,163,01,1,,1634019,DR,21497.18,CMC,2,202509100151075,
202509100087,JVFID,2025/2026,,2025-04-01,097,01,1,,,DR,1354.36,JMU,1,202509100151023,
202509100088,JVFIR,2025/2026,,2025-04-01,097,01,1,,,DR,24910883.31,JMT,1,202509100151022,
202509100089,JVFIR,2025/2026,,2025-04-01,097,01,1,,,DR,58300638.32,JMT,1,202509100151022,
202509100090,JVFIR,2025/2026,,2025-04-01,097,01,1,,,DR,15572967.52,JMT,1,202509100151022,
202509100092,JVIVI,2025/2026,,2025-04-01,006,01,1,,0060000,DR,7036.56,CMD,3,202509100150972,
202509200000,CADJU,2024/2025,,2025-04-02,127,12,1,8561000,1270000,CR,868.01,COF,1,202509200150965,
202509200001,CGAGR,2024/2025,,2025-04-02,127,12,1,8861000,1270000,DR,42080.48,COH,1,202509200150966,
202509200002,CRCPA,2025/2026,,2025-04-02,122,01,1,8761000,1220000,DR,5305.18,COK,1,202509200151128,
202509200003,CRCPA,2025/2026,,2025-04-02,122,01,1,8761000,1220000,DR,47.65,COK,1,202509200151128,
