transaction_id,account_id,amount,currency,date,description
t000001,7569,6587.03,USD,2023-04-15,Charge #1
t000002,4229,2009.1,CNY,2024-02-06,Adjustment #2
t000003,1749,12423.57,AUD,2024-04-10,Transfer #3
t000004,9029,17674.64,CNY,2024-10-06,Refund #4
t000005,6659,11673.86,USD,2024-05-09,Adjustment #5
t000006,1469,-3414.11,EUR,2024-11-17,Adjustment #6
t000007,6754,-2251.53,USD,2023-09-29,Transfer #7
t000008,1080,2497.43,BRL,2023-02-17,Transfer #8
t000009,4031,18985.54,CAD,2024-09-30,Invoice #9
t000010,6627,674.4,CAD,2023-10-13,Charge #10
t000011,10776,1620.58,GBP,2024-04-03,Charge #11
t000012,6417,-297.73,CAD,2023-08-17,Invoice #12
t000013,4916,11420.51,CNY,2023-03-01,Refund #13
t000014,3734,5027.63,EUR,2025-08-01,Refund #14
t000015,3442,8784.02,MXN,2024-01-11,Transfer #15
t000016,6636,-2224.76,USD,2025-12-08,Refund #16
t000017,9125,586.11,GBP,2024-12-17,Refund #17
t000018,5794,3555.54,CAD,2024-06-15,Transfer #18
t000019,8068,19419.98,CNY,2023-06-15,Adjustment #19
t000020,4804,3104.47,CAD,2025-09-03,Transfer #20
t000021,5988,3600.5,BRL,2024-10-02,Transfer #21
t000022,4604,12215.94,USD,2025-05-05,Invoice #22
t000023,8765,-338.08,CAD,2025-05-01,Charge #23
t000024,4274,1186.27,JPY,2025-02-28,Payment #24
t000025,3301,16146.4,BRL,2025-09-01,Refund #25
t000026,7934,12978.54,EUR,2025-05-21,Refund #26
t000027,2664,-655.0,MXN,2023-02-28,Adjustment #27
t000028,5220,8142.98,CHF,2025-06-24,Charge #28
t000029,3618,-4647.11,CNY,2023-05-02,Charge #29
t000030,10356,851.03,CNY,2025-06-02,Invoice #30
t000031,1331,14752.49,GBP,2024-11-19,Payment #31
t000032,8141,13618.29,USD,2024-09-28,Refund #32
t000033,1533,12806.92,CNY,2023-10-20,Invoice #33
t000034,7862,6017.83,CAD,2023-12-21,Invoice #34
t000035,5595,14541.12,CHF,2025-12-22,Payment #35
t000036,6056,7552.05,CAD,2024-08-20,Transfer #36
t000037,3495,-3570.39,BRL,2024-05-11,Charge #37
t000038,5879,4156.69,EUR,2023-12-26,Transfer #38
t000039,4892,-2323.33,JPY,2023-09-29,Charge #39
t000040,6928,14177.72,AUD,2025-02-14,Charge #40
t000041,4028,10159.46,CAD,2023-08-14,Transfer #41
t000042,6427,2320.11,USD,2024-08-07,Transfer #42
t000043,5240,-147.94,CAD,2025-12-03,Transfer #43
