vendor_id,name,country
v00001,Vendor 1,JP
v00002,Vendor 2,JP
v00003,Vendor 3,AU
v00004,Vendor 4,GB
v00005,Vendor 5,MX
v00006,Vendor 6,MX
v00007,Vendor 7,BR
v00008,Vendor 8,DE
v00009,Vendor 9,FR
v00010,Vendor 10,BR
v00011,Vendor 11,MX
v00012,Vendor 12,CN
v00013,Vendor 13,AU
v00014,Vendor 14,AU
v00015,Vendor 15,GB
v00016,Vendor 16,AU
v00017,Vendor 17,AU
v00018,Vendor 18,US
v00019,Vendor 19,AU
v00020,Vendor 20,JP
v00021,Vendor 21,CA
v00022,Vendor 22,US
v00023,Vendor 23,GB
v00024,Vendor 24,BR
v00025,Vendor 25,FR
v00026,Vendor 26,BR
v00027,Vendor 27,CA
v00028,Vendor 28,MX
v00029,Vendor 29,JP
v00030,Vendor 30,CA
v00031,Vendor 31,CN
v00032,Vendor 32,JP
v00033,Vendor 33,CN
v00034,Vendor 34,BR
v00035,Vendor 35,US
v00036,Vendor 36,US
v00037,Vendor 37,FR
v00038,Vendor 38,CA
v00039,Vendor 39,BR
v00040,Vendor 40,CA
v00041,Vendor 41,GB
v00042,Vendor 42,US
v00043,Vendor 43,CN
v00044,Vendor 44,US
v00045,Vendor 45,MX
v00046,Vendor 46,DE
v00047,Vendor 47,AU
v00048,Vendor 48,AU
v00049,Vendor 49,CN
v00050,Vendor 50,AU
v00051,Vendor 51,CN
v00052,Vendor 52,AU
v00053,Vendor 53,JP
v00054,Vendor 54,BR
v00055,Vendor 55,US
v00056,Vendor 56,US
v00057,Vendor 57,JP
v00058,Vendor 58,CA
v00059,Vendor 59,CN
v00060,Vendor 60,CN
v00061,Vendor 61,AU
v00062,Vendor 62,GB
v00063,Vendor 63,CN
v00064,Vendor 64,CA
v00065,Vendor 65,US
v00066,Vendor 66,CN
v00067,Vendor 67,FR
v00068,Vendor 68,GB
v00069,Vendor 69,GB
v00070,Vendor 70,CN
v00071,Vendor 71,BR
v00072,Vendor 72,BR
v00073,Vendor 73,US
v00074,Vendor 74,JP
v00075,Vendor 75,DE
v00076,Vendor 76,CN
v00077,Vendor 77,CN
v00078,Vendor 78,MX
v00079,Vendor 79,AU
v00080,Vendor 80,JP
v00081,Vendor 81,CN
v00082,Vendor 82,DE
v00083,Vendor 83,JP
v00084,Vendor 84,CA
v00085,Vendor 85,CN
v00086,Vendor 86,BR
v00087,Vendor 87,CA
v00088,Vendor 88,CA
v00089,Vendor 89,GB
v00090,Vendor 90,CN
v00091,Vendor 91,CA
v00092,Vendor 92,FR
v00093,Vendor 93,JP
v00094,Vendor 94,DE
v00095,Vendor 95,JP
v00096,Vendor 96,US
v00097,Vendor 97,BR
v00098,Vendor 98,MX
v00099,Vendor 99,FR
v00100,Vendor 100,AU
v00101,Vendor 101,US
v00102,Vendor 102,GB
v00103,Vendor 103,AU
v00104,Vendor 104,FR
v00105,Vendor 105,US
v00106,Vendor 106,US
v00107,Vendor 107,BR
v00108,Vendor 108,CN
v00109,Vendor 109,JP
v00110,Vendor 110,AU
v00111,Vendor 111,GB
v00112,Vendor 112,BR
v00113,Vendor 113,AU
v00114,Vendor 114,FR
v00115,Vendor 115,CN
v00116,Vendor 116,CN
v00117,Vendor 117,BR
v00118,Vendor 118,JP
v00119,Vendor 119,FR
v00120,Vendor 120,AU
v00121,Vendor 121,JP
v00122,Vendor 122,CA
v00123,Vendor 123,GB
v00124,Vendor 124,CA
v00125,Vendor 125,AU
v00126,Vendor 126,DE
v00127,Vendor 127,MX
v00128,Vendor 128,US
v00129,Vendor 129,GB
v00130,Vendor 130,US
v00131,Vendor 131,AU
